RAAA#,Sex,AnimalID,Name,DOB,BrdCds,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HG,GM
PM462,,A23 - 8269,HHOLLA23 - FEDDES DEFENDER Y17-8269,,,15,-1.9,56,82,0.17,1.1,21,-4,11,8,18,0.45,0.04,1,-0.08,0.02,193,47
PM463,,A37 - D104,HHOLLA37 - VF ACQUISITION D104,,,15,-1.9,46,68,0.14,0.18,19,-2,12,7,19,0.33,0.05,4,-0.03,0.03,201,47
PM464,,A37 - D172,HHOLLA37 - VF SILVER BOW D172,,,13,-0.6,58,90,0.2,0.49,19,-1,13,8,19,0.33,0.04,12,0.02,0.01,210,49
PM465,,A37 - D706,HHOLLA37 - DOING RIGHT,,,13,-1.4,46,69,0.15,0.03,21,-4,10,7,20,0.3,0.05,2,-0.16,0.01,202,48
PM466,,A37 - 3036,HHOLLA37 - WOOD EMMETT 3036,,,16,-2.4,46,66,0.12,0.3,18,-1,10,9,20,0.23,0.05,2,-0.14,0.01,205,46
PM467,,A37 - 2385,HHOLLA37 - ODOHERTY   2385,,,13,-0.9,52,76,0.15,0.5,20,-3,8,7,19,0.2,0.04,2,-0.19,0,189,46
PM468,,A37 - 8355,HHOLLA37 - FEDDES LIBERATION D108- 8355,,,14,-1.4,53,80,0.17,0.56,20,-3,10,7,20,0.46,0.07,12,-0.14,0.01,210,48
PM469,,A37 - 8269,HHOLLA37 - FEDDES DEFENDER Y17-8269,,,15,-1.3,52,77,0.15,0.69,19,-3,12,8,21,0.45,0.03,0,-0.09,0.01,215,47
PM470,,A49 - D104,HHOLLA24 - VF ACQUISITION D104,,,14,-1.8,49,73,0.15,0.48,22,-2,12,8,19,0.33,0.06,5,-0.02,0.03,196,47
PM471,,A49 - D172,HHOLLA24 - VF SILVER BOW D172,,,12,-0.4,61,95,0.22,0.79,22,-1,13,8,19,0.33,0.05,14,0.03,0.01,204,49
PM472,,A49 - D706,HHOLLA24 - DOING RIGHT,,,13,-1.3,48,74,0.16,0.33,24,-4,10,7,19,0.3,0.05,4,-0.16,0.01,196,47
PM473,,A49 - 3036,HHOLLA24 - WOOD EMMETT 3036,,,16,-2.2,49,71,0.14,0.6,21,-1,10,10,19,0.23,0.06,3,-0.13,0.01,199,45
PM474,,A49 - 2385,HHOLLA24 - ODOHERTY   2385,,,12,-0.7,55,81,0.16,0.8,23,-3,8,7,19,0.2,0.04,3,-0.18,0,183,46
PM475,,A49 - 8355,HHOLLA24 - FEDDES LIBERATION D108- 8355,,,13,-1.2,55,85,0.19,0.86,23,-3,9,8,20,0.46,0.08,13,-0.13,0.01,204,48
PM476,,A49 - 8269,HHOLLA24 - FEDDES DEFENDER Y17-8269,,,14,-1.1,55,82,0.17,0.99,22,-3,12,8,20,0.45,0.04,1,-0.09,0.01,209,47
PM477,,A60 - D104,HHOLLA60 - VF ACQUISITION D104,,,15,-2.4,47,71,0.15,0.36,25,-1,11,8,19,0.33,0.06,4,-0.04,0.03,199,47
PM478,,A60 - D172,HHOLLA60 - VF SILVER BOW D172,,,13,-1,59,93,0.21,0.68,25,0,13,9,19,0.33,0.05,13,0.02,0.01,208,49
PM479,,A60 - D706,HHOLLA60 - DOING RIGHT,,,13,-2,47,72,0.16,0.21,27,-3,10,8,19,0.3,0.05,3,-0.17,0.01,200,48
PM480,,A60 - 3036,HHOLLA60 - WOOD EMMETT 3036,,,17,-2.9,47,69,0.14,0.49,24,0,9,10,20,0.23,0.06,2,-0.14,0.02,203,45
PM481,,A60 - 2385,HHOLLA60 - ODOHERTY   2385,,,13,-1.4,53,79,0.16,0.69,25,-2,8,8,19,0.2,0.04,2,-0.19,0,187,46
PM482,,A60 - 8355,HHOLLA60 - FEDDES LIBERATION D108- 8355,,,14,-1.9,54,83,0.19,0.75,26,-2,9,8,20,0.46,0.08,12,-0.14,0.01,208,48
PM483,,A60 - 8269,HHOLLA60 - FEDDES DEFENDER Y17-8269,,,15,-1.8,53,80,0.17,0.87,24,-3,12,8,20,0.45,0.04,0,-0.1,0.01,213,47
PM484,,A38 - D104,HHOLLA38 - VF ACQUISITION D104,,,15,-2.9,49,73,0.15,0.44,20,-2,11,7,18,0.31,0.06,4,-0.05,0.02,190,47
PM485,,A38 - D172,HHOLLA38 - VF SILVER BOW D172,,,14,-1.5,61,95,0.21,0.75,20,-1,12,8,18,0.32,0.05,13,0.01,0.01,198,49
PM486,,A38 - D706,HHOLLA38 - DOING RIGHT,,,14,-2.4,49,75,0.16,0.29,22,-4,10,7,18,0.28,0.05,3,-0.18,0.01,190,47
PM487,,A38 - 3036,HHOLLA38 - WOOD EMMETT 3036,,,17,-3.4,49,71,0.14,0.57,19,-1,9,9,19,0.22,0.06,2,-0.15,0.01,193,45
PM488,,A38 - 2385,HHOLLA38 - ODOHERTY   2385,,,14,-1.8,56,81,0.16,0.76,21,-3,8,7,18,0.19,0.05,2,-0.2,0,177,46
PM489,,A38 - 8355,HHOLLA38 - FEDDES LIBERATION D108- 8355,,,14,-2.4,56,86,0.19,0.82,21,-3,9,7,19,0.44,0.08,12,-0.15,0.01,198,48
PM490,,A38 - 8269,HHOLLA38 - FEDDES DEFENDER Y17-8269,,,15,-2.3,55,82,0.17,0.95,20,-3,12,8,19,0.44,0.04,1,-0.11,0.01,203,47
PM491,,A45 - D104,HHOLLA45 - VF ACQUISITION D104,,,15,-2.5,48,71,0.15,0.47,21,-2,11,7,18,0.32,0.06,5,-0.03,0.03,183,47
PM492,,A45 - D172,HHOLLA45 - VF SILVER BOW D172,,,13,-1.1,60,93,0.21,0.78,21,-1,12,7,17,0.32,0.05,13,0.02,0.01,191,49
PM493,,A45 - D706,HHOLLA45 - DOING RIGHT,,,13,-2,47,72,0.16,0.32,23,-4,10,6,18,0.28,0.05,3,-0.16,0.01,183,47
PM494,,A45 - 3036,HHOLLA45 - WOOD EMMETT 3036,,,16,-3,48,69,0.13,0.59,20,-1,9,9,18,0.22,0.06,3,-0.14,0.01,187,45
PM495,,A45 - 2385,HHOLLA45 - ODOHERTY   2385,,,13,-1.5,54,79,0.16,0.79,22,-3,7,7,17,0.19,0.05,3,-0.19,0,170,46
PM496,,A45 - 8355,HHOLLA45 - FEDDES LIBERATION D108- 8355,,,13,-2,54,83,0.18,0.85,22,-3,9,7,19,0.45,0.08,13,-0.14,0.01,191,48
PM497,,A45 - 8269,HHOLLA45 - FEDDES DEFENDER Y17-8269,,,14,-1.9,54,80,0.16,0.98,21,-3,12,7,19,0.44,0.04,1,-0.09,0.01,196,47
PM498,,A70 - D104,HHOLL A70 - VF ACQUISITION D104,,,15,-2.1,47,71,0.15,0.4,25,-2,12,8,20,0.34,0.06,3,-0.05,0.03,211,47
PM499,,A70 - D172,HHOLL A70 - VF SILVER BOW D172,,,13,-0.8,59,93,0.21,0.71,25,-1,13,9,20,0.34,0.05,12,0.01,0.02,219,49
PM500,,A70 - D706,HHOLL A70 - DOING RIGHT,,,13,-1.6,47,72,0.16,0.25,27,-4,10,8,21,0.3,0.05,2,-0.18,0.01,211,47
PM501,,A70 - 3036,HHOLL A70 - WOOD EMMETT 3036,,,16,-2.6,47,69,0.14,0.52,24,-1,10,10,21,0.24,0.06,1,-0.15,0.02,214,45
