CowID,BullID,PairID,RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
C19 , Z124G,C19 - Z124G,PM55,,C19 - Z124G,C19 - LASO SPLASH Z124G,,,118,14,-2.4,57,85,0.18,0.53,30,-1,9,7,19,0.5,-0.11,14,0.34,-0.01,70,47
L94 , 9191G,L94 - 9191G,PM814,,L94 - 9191G,HHOLL L94 - LSF SRR CONTROL 9191G,,,163,17,-5.0,61,100,0.24,0.65,30,2,14,9,19,0.78,0.1,25,0.02,0.02,88,76
L31 , 9191G,L31 - 9191G,PM709,,L31 - 9191G,HHOLL L31 - LSF SRR CONTROL 9191G,,,139,16,-4.3,60,95,0.22,0.58,28,0,14,9,15,0.88,0.01,14,0.14,0.01,66,74
F06 , D172,F06 - D172,PM159,,F06 - D172,F06 - VF SILVER BOW D172,,,150,13,-1.5,60,98,0.24,0.67,23,0,13,8,22,0.37,0.0,15,0.1,0.0,107,43
L58 , 1278J,L58 - 1278J,PM746,,L58 - 1278J,HHOLL L58 - SLB AUTHORITY 1278J,,,129,16,-4.5,56,85,0.18,0.4,29,-5,9,9,16,0.64,-0.12,14,0.32,-0.02,64,65
K59 , J490,K59 - J490,PM512,,K59 - J490,HHOLL K59 - BECKTON ORACLE J490 S2,,,107,17,-3.7,50,82,0.2,0.32,27,-2,10,9,16,0.48,0.04,7,-0.05,0.01,59,48
K60 , 8269,K60 - 8269,PM504,,K60 - 8269,HHOLL K60 - FEDDES DEFENDER Y17-8269,,,115,15,-3.5,52,79,0.17,0.42,29,-3,11,7,18,0.58,0.02,4,-0.08,0.0,71,44
C32 , 9191G,C32 - 9191G,PM93,,C32 - 9191G,C32 - LSF SRR CONTROL 9191G,,,155,16,-3.8,58,90,0.2,0.45,28,2,13,10,21,0.63,0.05,15,0.02,0.01,101,54
D10 , 8269,D10 - 8269,PM126,,D10 - 8269,D10 - FEDDES DEFENDER Y17-8269,,,123,17,-3.8,49,71,0.14,0.19,24,-7,11,9,21,0.44,0.0,-2,-0.06,0.01,97,26
L70 , 1181J,L70 - 1181J,PM787,,L70 - 1181J,HHOLL L70 - LSF SRR CHARTER 1181J,,,139,13,-1.8,66,107,0.26,0.82,30,5,11,6,18,0.62,0.01,33,0.22,-0.01,63,76
L78 , 1181J,L78 - 1181J,PM801,,L78 - 1181J,HHOLL L78 - LSF SRR CHARTER 1181J,,,135,16,-3.5,62,99,0.23,0.66,28,1,11,8,17,0.6,0.07,29,0.06,0.0,67,68
H31 , 1278J,H31 - 1278J,PM354,,H31 - 1278J,HHOLL H31 - SLB AUTHORITY 1278J,,,124,16,-3.8,54,79,0.16,0.27,26,-7,9,9,18,0.49,-0.07,9,0.14,-0.01,80,44
J80 , Z124G,J80 - Z124G,PM468,,J80 - Z124G,HHOLL J80 - LASO SPLASH Z124G,,,116,14,-3.2,56,87,0.19,0.57,27,-2,10,7,16,0.68,-0.13,11,0.4,-0.01,54,62
L29 , 8269,L29 - 8269,PM707,,L29 - 8269,HHOLL L29 - FEDDES DEFENDER Y17-8269,,,102,15,-3.8,54,80,0.16,0.48,29,-5,11,7,15,0.63,-0.05,1,0.06,0.0,59,44
N46 , 1181J,N46 - 1181J,PM31,,N46 - 1181J,HHOLLN46 - LSF SRR CHARTER 1181J,,,134,15,-3.4,59,94,0.22,0.62,28,-1,11,8,19,0.45,0.07,30,0.0,-0.01,78,57
L32 , 9191G,L32 - 9191G,PM716,,L32 - 9191G,HHOLL L32 - LSF SRR CONTROL 9191G,,,166,17,-4.9,61,103,0.26,0.63,25,3,14,10,17,0.84,0.1,27,0.06,0.02,79,86
H26 , 9191G,H26 - 9191G,PM317,,H26 - 9191G,HHOLL H26 - LSF SRR CONTROL 9191G,,,154,18,-5.3,55,87,0.2,0.45,27,0,14,10,20,0.69,0.06,13,0.03,0.02,98,56
F08 , 9191G,F08 - 9191G,PM163,,F08 - 9191G,F08 - LSF SRR CONTROL 9191G,,,168,16,-3.8,62,102,0.25,0.61,26,-1,14,9,19,0.74,0.07,19,0.09,0.02,98,70
J04 , Z124G,J04 - Z124G,PM461,,J04 - Z124G,HHOLL J04 - LASO SPLASH Z124G,,,114,15,-3.6,51,79,0.18,0.41,25,-2,10,6,16,0.69,-0.13,8,0.35,-0.01,50,63
J41 , 8269,J41 - 8269,PM483,,J41 - 8269,HHOLL J41 - FEDDES DEFENDER Y17-8269,,,107,16,-4.3,55,82,0.17,0.55,28,-5,11,8,16,0.6,-0.02,1,0.01,0.0,66,41
L49 , 9191G,L49 - 9191G,PM737,,L49 - 9191G,HHOLL L49 - LSF SRR CONTROL 9191G,,,162,15,-3.8,64,108,0.27,0.7,27,4,14,9,17,0.84,0.1,27,0.06,0.02,77,85
K11 , 1278J,K11 - 1278J,PM634,,K11 - 1278J,HHOLL K11 - SLB AUTHORITY 1278J,,,119,16,-4.3,57,85,0.18,0.44,27,-7,9,8,15,0.62,-0.1,12,0.19,-0.02,62,58
G65 , 1181J,G65 - 1181J,PM269,,G65 - 1181J,HHOLL G65 - LSF SRR CHARTER 1181J,,,147,14,-2.0,61,99,0.24,0.51,28,1,11,8,19,0.5,0.06,30,0.07,0.0,81,66
K52 , 1278J,K52 - 1278J,PM627,,K52 - 1278J,HHOLL K52 - SLB AUTHORITY 1278J,,,127,14,-3.8,53,84,0.19,0.43,29,-5,9,7,16,0.65,-0.12,14,0.31,-0.02,59,67
L35 , 1181J,L35 - 1181J,PM17,,L35 - 1181J,HHOLLL35 - LSF SRR CHARTER 1181J,,,129,13,-1.4,55,88,0.21,0.47,31,0,10,7,18,0.44,0.05,31,0.05,-0.01,67,61
K51 , D172,K51 - D172,PM509,,K51 - D172,HHOLL K51 - VF SILVER BOW D172,,,149,14,-2.6,57,99,0.27,0.7,19,0,13,9,19,0.47,0.01,17,0.14,0.01,90,60
H50 , D172,H50 - D172,PM306,,H50 - D172,HHOLL H50 - VF SILVER BOW D172,,,142,13,-1.8,61,103,0.26,0.71,24,-1,13,8,19,0.43,0.0,18,0.19,0.01,89,53
K86 , 1278J,K86 - 1278J,PM578,,K86 - 1278J,HHOLL K86 - SLB AUTHORITY 1278J,,,122,15,-2.8,62,93,0.19,0.41,29,-4,9,8,18,0.47,-0.08,14,0.2,-0.01,75,47
E29 , 1181J,E29 - 1181J,PM136,,E29 - 1181J,E29 - LSF SRR CHARTER 1181J,,,148,13,-1.5,60,95,0.22,0.56,27,0,11,8,21,0.44,0.05,30,0.02,-0.01,90,58
K38B , Z124G,K38B - Z124G,PM573,,K38B - Z124G,HHOLL K38B - LASO SPLASH Z124G,,,128,13,-1.8,62,97,0.22,0.71,30,2,10,6,17,0.69,-0.09,20,0.36,-0.01,59,69
H37 , D172,H37 - D172,PM285,,H37 - D172,HHOLL H37 - VF SILVER BOW D172,,,153,14,-2.5,61,105,0.27,0.79,16,0,14,9,20,0.47,0.01,19,0.19,0.01,94,59
